year,county,state,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over.1,sex_and_age_male.1,sex_and_age_female.1,sex_and_age_65_years_and_over.1,sex_and_age_male.2,sex_and_age_female.2,race_total_population,race_one_race,race_two_or_more_races,race_one_race.1,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch.1,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is.1,race_one_race_native_hawaiian_and_other_pacific_is.2,race_one_race_native_hawaiian_and_other_pacific_is.3,race_one_race_native_hawaiian_and_other_pacific_is.4,race_one_race_some_other_race,race_two_or_more_races.1,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_.1,hispanic_or_latino_and_race_hispanic_or_latino_of_.2,hispanic_or_latino_and_race_hispanic_or_latino_of_.3,hispanic_or_latino_and_race_hispanic_or_latino_of_.4,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino.1,hispanic_or_latino_and_race_not_hispanic_or_latino.2,hispanic_or_latino_and_race_not_hispanic_or_latino.3,hispanic_or_latino_and_race_not_hispanic_or_latino.4,hispanic_or_latino_and_race_not_hispanic_or_latino.5,hispanic_or_latino_and_race_not_hispanic_or_latino.6,hispanic_or_latino_and_race_not_hispanic_or_latino.7,hispanic_or_latino_and_race_not_hispanic_or_latino.8,hispanic_or_latino_and_race_not_hispanic_or_latino.9,total_housing_units
2010,Twiggs County,Georgia,9385,4652,4733,430,549,639,861,554,782,1349,1503,597,749,909,287,176,41.2,7350,6828,1727,1372,7350,3538,3812,1372,611,761,9385,9355,30,9355,5244,3998,7,7,0,0,0,0,0,0,0,0,0,0,13,289,0,4,0,0,4,0,102,30,0,30,0,0,9385,5274,3998,37,0,4,102,9385,78,78,0,0,0,9307,5244,3998,7,0,4,24,30,0,30,4272
2010,Union County,Georgia,21083,10367,10716,911,1176,1020,1147,776,1776,2337,3122,1696,1854,3189,1593,486,49.2,17286,16707,6260,5268,17286,8391,8895,5268,2490,2778,21083,20768,315,20768,20380,220,0,0,0,0,0,50,34,0,0,0,0,0,13,291,16,44,26,18,0,0,74,315,0,216,78,0,21083,20695,220,216,128,44,95,21083,360,333,0,27,0,20723,20102,159,0,50,44,53,315,21,294,13714
2010,Upson County,Georgia,27308,13152,14156,1747,1444,2197,2071,1535,3139,3562,4119,1854,1518,2330,1302,490,39.1,20668,19585,4878,4122,20668,9683,10985,4122,1647,2475,27308,27115,193,27115,19057,7617,90,75,0,0,0,162,27,7,72,0,31,4,13,293,21,0,0,0,0,0,189,193,57,95,10,0,27308,19250,7674,185,172,0,220,27308,575,501,9,0,65,26733,18702,7617,90,162,0,0,162,0,162,12188
2010,Walker County,Georgia,67845,33167,34678,4181,5083,4163,4599,3731,8379,9475,10011,4462,3856,5631,3363,911,39.0,51551,49060,12184,9905,51551,24824,26727,9905,4121,5784,67845,66809,1036,66809,63076,2782,245,176,0,0,0,237,24,0,113,0,0,37,13,295,63,34,0,34,0,0,435,1036,438,308,129,0,67845,64112,3220,553,366,47,583,67845,1119,756,183,63,117,66726,62536,2701,197,237,15,206,834,14,820,29692
2010,Walton County,Georgia,81491,39790,41701,5959,6079,6322,5556,4521,10085,12568,11961,5268,4012,5263,2778,1119,37.0,59376,56700,11534,9160,59376,28492,30884,9160,3844,5316,81491,81123,368,81123,65466,12956,412,141,0,0,0,976,137,0,144,0,22,125,13,297,548,37,10,0,0,27,1276,368,103,106,80,13,81491,65807,13086,531,1056,37,1342,81491,2516,1623,286,159,448,78975,64429,12800,338,976,37,41,354,52,302,31898
2010,Ware County,Georgia,36006,17869,18137,2524,2385,2326,2542,2349,4696,4622,4976,2048,2205,2685,2036,612,37.3,27281,25789,6563,5333,27281,13406,13875,5333,2117,3216,36006,35673,333,35673,23952,10378,187,42,0,0,0,319,231,0,14,0,0,74,13,299,0,0,0,0,0,0,837,333,176,83,0,67,36006,24218,10621,337,319,0,844,36006,1186,1150,10,13,13,34820,23672,10364,139,319,0,0,326,0,326,16349
2010,Warren County,Georgia,5936,2730,3206,392,404,364,455,292,527,743,981,463,334,501,403,77,43.3,4514,4241,1169,981,4514,2041,2473,981,398,583,5936,5936,0,5936,2194,3733,0,0,0,0,0,9,9,0,0,0,0,0,13,301,0,0,0,0,0,0,0,0,0,0,0,0,5936,2194,3733,0,9,0,0,5936,5,5,0,0,0,5931,2194,3728,0,9,0,0,0,0,0,2954
2010,Washington County,Georgia,21112,10589,10523,1390,1406,1319,1540,1411,2810,2721,3285,1353,1087,1499,953,338,37.9,15978,15136,3339,2790,15978,7958,8020,2790,1081,1709,21112,20906,206,20906,9592,11184,0,0,0,0,0,25,0,0,0,0,10,4,13,303,11,0,0,0,0,0,105,206,17,125,0,0,21112,9794,11205,166,89,60,105,21112,343,296,7,0,40,20769,9341,11181,0,25,0,16,206,0,206,8973
2010,Wayne County,Georgia,29705,15526,14179,2064,2272,1867,2094,1698,3925,4234,4451,1585,1810,2230,1067,408,37.6,22188,21015,4818,3705,22188,11578,10610,3705,1631,2074,29705,29335,370,29335,22378,6027,24,0,0,8,0,94,21,8,40,0,17,8,13,305,0,9,0,9,0,0,803,370,159,23,13,0,29705,22619,6315,57,236,30,849,29705,1592,923,432,55,182,28113,21667,5995,24,94,9,0,324,0,324,12008
2010,Webster County,Georgia,2727,1270,1457,140,246,171,164,135,232,442,392,169,215,255,110,56,40.4,2045,1984,576,421,2045,979,1066,421,170,251,2727,2623,104,2623,1532,935,0,0,0,0,0,42,33,0,0,0,0,9,13,307,0,0,0,0,0,0,114,104,17,87,0,0,2727,1636,952,87,42,0,114,2727,138,114,0,24,0,2589,1508,935,0,42,0,0,104,0,104,1443
