year,county,state,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over.1,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over.1,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch.1,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is.1,race_one_race_native_hawaiian_and_other_pacific_is.2,race_one_race_native_hawaiian_and_other_pacific_is.3,race_one_race_native_hawaiian_and_other_pacific_is.4,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more.1,race_race_alone_or_in_combination_with_one_or_more.2,race_race_alone_or_in_combination_with_one_or_more.3,race_race_alone_or_in_combination_with_one_or_more.4,race_race_alone_or_in_combination_with_one_or_more.5,race_race_alone_or_in_combination_with_one_or_more.6,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa.1,hispanic_or_latino_and_race_total_population_hispa.2,hispanic_or_latino_and_race_total_population_hispa.3,hispanic_or_latino_and_race_total_population_hispa.4,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h.1,hispanic_or_latino_and_race_total_population_not_h.2,hispanic_or_latino_and_race_total_population_not_h.3,hispanic_or_latino_and_race_total_population_not_h.4,hispanic_or_latino_and_race_total_population_not_h.5,hispanic_or_latino_and_race_total_population_not_h.6,hispanic_or_latino_and_race_total_population_not_h.7,hispanic_or_latino_and_race_total_population_not_h.8,hispanic_or_latino_and_race_total_population_not_h.9,total_housing_units
2014,Langlade County,Wisconsin,19706,9930,9776,984,1026,1254,1230,892,1826,2142,3139,1693,1399,2180,1344,597,46.7,15657,15067,5015,4121,15657,7830,7827,4121,1891,2230,19706,19431,275,19431,18866,118,162,0,108,0,1,80,48,0,7,0,0,0,55,67,25,18,0,0,0,18,187,275,40,173,23,0,19706,19141,191,336,135,18,193,19706,367,342,22,0,3,19339,18736,118,118,80,18,0,269,0,269,12363
2014,Outagamie County,Wisconsin,179139,89355,89784,11567,11973,12822,12327,11003,24163,23260,28194,11797,9824,12018,7246,2945,37.6,135146,128324,27802,22209,135146,66666,68480,22209,9626,12583,179139,175626,3513,175626,162930,1891,2753,7,262,11,74,5378,621,493,113,26,218,1,55,87,3906,22,0,19,0,3,2652,3513,950,1035,748,10,179139,166220,2968,3948,6490,257,3047,179139,6866,5716,376,41,733,172273,159333,1879,2652,5357,22,154,2876,104,2772,74137
2014,Vernon County,Wisconsin,30124,15016,15108,2112,2337,2129,1963,1353,2943,3293,4387,2318,1979,2789,1775,746,42.0,22241,21314,6480,5310,22241,11048,11193,5310,2459,2851,30124,29835,289,29835,29338,118,32,0,0,0,0,121,0,22,44,4,3,0,55,123,48,38,38,0,0,0,188,289,101,107,38,0,30124,29606,229,157,165,38,228,30124,448,383,9,9,47,29676,29106,118,29,121,38,22,242,7,235,13766
2014,Columbia County,Wisconsin,56659,28833,27826,3178,3611,3829,3543,2812,6595,7396,9056,4207,3692,4815,2858,1067,41.9,43727,41964,10948,8740,43727,22255,21472,8740,3944,4796,56659,55942,717,55942,54261,876,282,0,69,0,2,276,64,35,109,10,30,2,55,21,26,18,14,0,0,4,229,717,163,204,163,4,56659,54961,1098,528,478,109,299,56659,1553,1192,113,30,218,55106,53204,843,261,269,14,12,503,0,503,26154
2014,Kewaunee County,Wisconsin,20545,10435,10110,1145,1255,1471,1265,964,2102,2536,3250,1578,1361,1870,1190,558,43.3,15849,15199,4263,3618,15849,8003,7846,3618,1663,1955,20545,20362,183,20362,19945,80,141,0,46,0,10,78,50,13,10,0,0,0,55,61,5,0,0,0,0,0,118,183,42,57,22,0,20545,20126,137,234,103,2,165,20545,479,386,68,0,25,20066,19650,80,124,78,0,0,134,0,134,9324
2014,Brown County,Wisconsin,252698,125242,127456,17278,16686,17925,17222,17405,34913,32220,37364,16894,13804,16643,9560,4784,36.6,190542,179874,38852,30987,190542,93498,97044,30987,13412,17575,252698,245373,7325,245373,220870,5827,5880,13,422,24,26,7308,1012,882,269,90,117,152,55,9,4786,30,14,5,11,0,5458,7325,2388,2361,788,172,252698,227699,8991,8841,8485,264,6241,252698,19415,14043,1886,194,3292,233283,209263,5264,5449,7243,11,254,5799,92,5707,105867
2014,Eau Claire County,Wisconsin,100607,49425,51182,5846,5940,5425,8294,12675,13733,10876,12526,6104,5862,6978,4132,2216,33.7,79798,71921,16656,13326,79798,38573,41225,13326,5782,7544,100607,98421,2186,98421,93700,714,424,0,143,0,38,3149,399,457,162,12,275,22,55,35,1822,115,75,0,39,1,319,2186,848,406,761,28,100607,95842,1608,874,3962,191,368,100607,2088,1351,297,0,440,98519,91973,678,424,3109,115,82,2138,25,2113,42564
2014,Oneida County,Wisconsin,35754,18053,17701,1630,1585,1838,2013,1600,3268,3730,5832,3156,2954,4514,2479,1155,49.2,29406,28446,9948,8148,29406,14699,14707,8148,3859,4289,35754,35522,232,35522,34550,229,418,1,253,0,0,238,30,95,6,73,16,5,55,85,13,34,12,0,4,18,53,232,31,160,1,0,35754,34763,266,580,262,38,87,35754,450,303,40,12,95,35304,34182,217,418,234,30,10,213,29,184,30262
2014,Polk County,Wisconsin,43698,21981,21717,2410,2861,2816,2794,1964,4561,5241,6993,3317,3219,4178,2388,956,43.7,33790,32441,9428,7522,33790,16932,16858,7522,3530,3992,43698,43237,461,43237,42126,161,407,23,264,0,18,223,16,115,44,17,19,0,55,95,12,0,0,0,0,0,320,461,116,194,56,24,43698,42556,330,649,287,2,365,43698,706,569,44,18,75,42992,41815,161,398,211,0,0,407,23,384,24278
2014,Washburn County,Wisconsin,15785,7827,7958,791,865,920,849,604,1465,1654,2406,1327,1319,2060,1140,385,48.6,12645,12268,4340,3585,12645,6262,6383,3585,1722,1863,15785,15602,183,15602,15111,73,281,4,171,0,3,83,43,10,12,2,14,0,55,129,2,2,2,0,0,0,52,183,42,119,12,0,15785,15292,115,400,97,4,60,15785,241,169,44,0,28,15544,14991,73,222,83,2,23,150,2,148,13004
