year,county,state,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over.1,sex_and_age_male.1,sex_and_age_female.1,sex_and_age_65_years_and_over.1,sex_and_age_male.2,sex_and_age_female.2,race_total_population,race_one_race,race_two_or_more_races,race_one_race.1,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch.1,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is.1,race_one_race_native_hawaiian_and_other_pacific_is.2,race_one_race_native_hawaiian_and_other_pacific_is.3,race_one_race_native_hawaiian_and_other_pacific_is.4,race_one_race_some_other_race,race_two_or_more_races.1,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_.1,hispanic_or_latino_and_race_hispanic_or_latino_of_.2,hispanic_or_latino_and_race_hispanic_or_latino_of_.3,hispanic_or_latino_and_race_hispanic_or_latino_of_.4,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino.1,hispanic_or_latino_and_race_not_hispanic_or_latino.2,hispanic_or_latino_and_race_not_hispanic_or_latino.3,hispanic_or_latino_and_race_not_hispanic_or_latino.4,hispanic_or_latino_and_race_not_hispanic_or_latino.5,hispanic_or_latino_and_race_not_hispanic_or_latino.6,hispanic_or_latino_and_race_not_hispanic_or_latino.7,hispanic_or_latino_and_race_not_hispanic_or_latino.8,hispanic_or_latino_and_race_not_hispanic_or_latino.9,total_housing_units
2011,Monroe County,Alabama,23159,11258,11901,1407,1353,1986,1795,1322,1964,3292,3487,1524,1502,1904,1062,561,40.0,17269,16311,4270,3527,17269,8176,9093,3527,1483,2044,23159,22836,323,22836,12829,9465,304,26,0,0,0,89,5,33,49,2,0,0,1,99,0,0,0,0,0,0,149,323,191,64,24,30,23159,13122,9686,398,113,0,163,23159,241,202,0,0,39,22918,12751,9465,304,89,0,0,309,0,309,11381
2011,Lawrence County,Alabama,34250,16764,17486,2123,2337,2118,2316,2066,3868,4869,5273,2255,2215,2883,1477,450,40.4,26247,24823,5998,4810,26247,12708,13539,4810,2122,2688,34250,32658,1592,32658,26656,3860,1883,1466,0,0,0,64,0,8,41,0,5,0,1,79,10,0,0,0,0,0,195,1592,183,1030,42,159,34250,28069,4218,3164,239,2,264,34250,604,414,8,0,182,33646,26325,3812,1858,64,0,49,1538,21,1517,15253
2011,Lee County,Alabama,137855,68170,69685,8373,8515,8674,13183,21686,18461,17200,16592,7322,5521,7270,3637,1421,28.9,106944,93829,15251,12328,106944,52343,54601,12328,5305,7023,137855,136176,1679,136176,99714,31610,527,203,0,0,2,3640,780,937,70,105,1175,81,1,81,492,140,12,128,0,0,545,1679,406,584,205,132,137855,101012,32455,1410,4092,196,615,137855,4374,1953,854,107,1460,133481,96557,31225,346,3640,140,91,1482,4,1478,61661
2011,Marion County,Alabama,30771,15257,15514,1817,1718,1952,1879,1610,3404,4037,4545,2091,2064,3299,1742,613,42.0,24093,23098,6932,5654,24093,11743,12350,5654,2451,3203,30771,30404,367,30404,28735,1177,65,14,0,0,0,75,65,0,1,9,0,0,1,93,0,0,0,0,0,0,352,367,163,176,24,0,30771,29102,1344,245,99,0,352,30771,611,576,5,0,30,30160,28497,1155,65,75,0,1,367,0,367,14745
2011,Pickens County,Alabama,19765,9321,10444,1201,1315,1392,1435,1101,2051,2355,2991,1436,1181,1811,1174,322,40.8,14989,14224,4023,3307,14989,6947,8042,3307,1387,1920,19765,19605,160,19605,11277,8306,14,2,0,0,0,5,0,5,0,0,0,0,1,107,0,0,0,0,0,0,3,160,78,57,0,14,19765,11423,8409,85,16,0,3,19765,266,233,33,0,0,19499,11033,8306,14,5,0,3,138,0,138,9496
2011,Sumter County,Alabama,13758,6216,7542,812,738,953,1437,1329,1424,1374,2001,949,702,1017,750,272,36.3,10584,9613,2492,2039,10584,4655,5929,2039,756,1283,13758,13613,145,13613,3397,10145,16,0,0,0,0,2,2,0,0,0,0,0,1,119,0,0,0,0,0,0,53,145,49,0,0,94,13758,3448,10288,110,2,2,53,13758,106,25,8,0,73,13652,3346,10145,16,2,0,0,143,0,143,6801
2011,Jefferson County,Alabama,657486,310984,346502,43742,41466,43089,44960,46234,93125,84638,95879,43693,34623,43849,29862,12326,37.0,502252,475515,104316,86037,502252,232138,270114,86037,33879,52158,657486,652519,4967,652519,354221,276023,1293,689,0,0,10,9362,3369,3247,600,229,352,700,1,73,865,113,14,23,12,64,11507,4967,1345,1889,772,266,657486,358664,277888,3637,10326,171,11918,657486,23994,19065,592,461,3876,633492,342391,275075,1207,9318,113,834,4554,151,4403,300366
2011,Choctaw County,Alabama,13953,6698,7255,775,1007,810,1090,558,1220,1888,2129,815,1157,1423,731,350,43.6,10770,10126,3182,2504,10770,5055,5715,2504,1074,1430,13953,13799,154,13799,7738,6011,0,0,0,0,0,45,0,19,0,0,26,0,1,23,0,0,0,0,0,0,5,154,0,120,0,0,13953,7871,6032,120,45,0,39,13953,37,11,0,0,26,13916,7727,6006,0,45,0,0,138,18,120,7324
2011,Franklin County,Alabama,31532,15429,16103,2180,2230,2138,2060,1872,3780,4429,4518,1783,1796,2724,1639,383,38.5,23756,22440,5711,4746,23756,11670,12086,4746,2022,2724,31532,31209,323,31209,27803,1344,160,133,0,0,0,44,42,0,0,0,2,0,1,59,0,0,0,0,0,0,1858,323,163,154,0,0,31532,28126,1507,314,44,0,1864,31532,4417,2571,0,46,1800,27115,25353,1271,160,44,0,0,287,0,287,14032
2011,Marengo County,Alabama,21130,9956,11174,1309,1062,1890,1600,1250,2159,2641,3073,1220,1531,1825,1193,377,40.2,15812,14923,4258,3395,15812,7255,8557,3395,1423,1972,21130,20974,156,20974,9698,11266,3,3,0,0,0,1,0,0,0,0,1,0,1,91,0,0,0,0,0,0,6,156,105,18,0,0,21130,9853,11387,53,34,1,6,21130,77,15,0,0,62,21053,9658,11235,3,1,0,0,156,0,156,10250
2011,Russell County,Alabama,52490,25121,27369,3736,3193,3975,3871,3589,7092,6713,7515,2912,3195,3755,2038,906,36.4,39086,37072,8631,6699,39086,18172,20914,6699,2699,4000,52490,50996,1494,50996,28495,21823,38,0,0,3,0,226,68,0,64,15,18,0,1,113,61,88,11,77,0,0,326,1494,534,411,57,167,52490,29697,22574,653,395,220,482,52490,1894,806,606,0,482,50596,27480,21523,20,226,77,0,1270,12,1258,24470
2011,Cherokee County,Alabama,25819,12913,12906,1304,1368,1726,1562,1225,2781,3270,3952,2331,1639,2987,1281,393,44.2,20465,19667,5736,4661,20465,10054,10411,4661,2124,2537,25819,25564,255,25564,23948,1283,181,66,0,0,0,57,0,0,28,10,0,0,1,19,19,3,3,0,0,0,92,255,83,103,24,10,25819,24193,1376,294,81,3,127,25819,331,134,56,42,99,25488,23758,1269,181,57,3,0,220,0,220,16116
2011,Covington County,Alabama,37736,18352,19384,2272,2367,2375,2511,2044,4151,4628,5478,2454,2517,3744,2364,831,42.1,29175,27570,8370,6939,29175,13859,15316,6939,2935,4004,37736,37333,403,37333,31981,4735,240,85,0,0,0,128,0,61,0,2,0,61,1,39,4,0,0,0,0,0,249,403,179,152,14,0,37736,32326,4914,392,200,0,307,37736,500,339,58,26,77,37236,31719,4728,240,128,0,29,392,58,334,18821
2011,Crenshaw County,Alabama,13938,6786,7152,853,952,896,948,790,1505,1893,2043,758,1078,1178,783,261,39.7,10628,10139,2845,2222,10628,5046,5582,2222,895,1327,13938,13589,349,13589,10177,3131,101,13,0,0,0,180,0,0,9,0,171,0,1,41,0,0,0,0,0,0,0,349,285,51,13,0,13938,10526,3416,152,193,0,0,13938,193,138,5,6,44,13745,9984,3131,101,180,0,0,349,0,349,6758
2011,Dallas County,Alabama,43868,20177,23691,3205,3747,2676,3409,2785,4914,5124,6540,2535,2837,3442,1848,806,36.9,32152,30288,7793,6096,32152,14334,17818,6096,2455,3641,43868,43585,283,43585,12981,30207,42,30,0,0,0,155,76,0,79,0,0,0,1,47,0,0,0,0,0,0,200,283,83,21,29,113,43868,13141,30440,203,194,0,200,43868,316,233,0,0,83,43552,12911,30169,42,155,0,0,275,0,275,20268
2011,Lauderdale County,Alabama,92269,44174,48095,5125,5869,5353,6495,7060,10325,11797,13091,5773,6051,8365,5150,1815,40.3,72339,67771,18308,15330,72339,34084,38255,15330,6471,8859,92269,91339,930,91339,80551,9379,354,191,0,0,0,681,152,96,99,104,69,114,1,77,47,0,0,0,0,0,374,930,377,399,52,0,92269,81428,9819,776,769,38,422,92269,1995,1717,26,67,185,90274,79065,9299,318,681,0,0,911,24,887,43581
2011,Lowndes County,Alabama,11538,5393,6145,713,690,910,970,737,1064,1482,1867,903,555,995,496,156,40.2,8655,8027,1970,1647,8655,3982,4673,1647,711,936,11538,11521,17,11521,2942,8520,28,28,0,0,0,0,0,0,0,0,0,0,1,85,0,0,0,0,0,0,31,17,0,17,0,0,11538,2959,8520,45,0,0,31,11538,82,25,0,43,14,11456,2924,8477,28,0,0,10,17,0,17,5198
2011,Macon County,Alabama,21489,9779,11710,1110,946,1513,2604,2398,1977,2352,2852,1377,1366,1608,947,439,35.8,17046,14483,3707,2994,17046,7554,9492,2994,1195,1799,21489,21178,311,21178,3341,17754,75,1,0,0,0,0,0,0,0,0,0,0,1,87,0,0,0,0,0,0,8,311,77,41,28,149,21489,3499,17996,277,28,0,12,21489,239,99,28,43,69,21250,3268,17603,75,0,0,0,304,0,304,10310
2011,Limestone County,Alabama,80966,41126,39840,5274,5555,5238,5141,4669,10540,12352,12660,4888,4822,5846,2911,1070,38.7,61545,58719,12790,9827,61545,31106,30439,9827,4376,5451,80966,79984,982,79984,66848,10591,482,171,0,0,0,858,66,106,134,16,261,73,1,83,202,4,4,0,0,0,1201,982,193,427,160,46,80966,67737,10886,993,1059,20,1283,80966,4233,3775,149,155,154,76733,63976,10506,478,832,4,46,891,48,843,34329
2011,Shelby County,Alabama,191705,93893,97812,13086,13884,14047,12380,10540,27030,29815,28739,12645,9621,11990,5938,1990,36.8,142593,136529,25169,19918,142593,68730,73863,19918,8912,11006,191705,189689,2016,189689,161026,20165,551,161,12,0,31,3772,1057,285,505,457,299,939,1,117,230,0,0,0,0,0,4175,2016,531,622,314,70,191705,162911,20908,1295,4200,139,4434,191705,10562,7528,370,145,2519,181143,154877,20109,456,3772,0,199,1730,40,1690,80068
2011,Winston County,Alabama,24593,12079,12514,1270,1097,2109,1629,1243,2589,3223,3737,1454,1968,2492,1389,393,42.6,19008,18127,5536,4274,19008,9237,9771,4274,1840,2434,24593,24133,460,24133,23744,208,46,17,0,0,0,27,0,0,0,0,9,0,1,133,18,0,0,0,0,0,108,460,43,342,24,0,24593,24204,251,388,51,0,159,24593,648,289,0,6,353,23945,23327,159,46,27,0,0,386,0,386,13429
2011,Cullman County,Alabama,80246,39779,40467,4922,5340,5231,5307,4742,9746,10434,11721,5548,4585,7216,4112,1342,39.9,61519,58165,14995,12670,61519,30032,31487,12670,5453,7217,80246,79133,1113,79133,76905,817,505,232,0,0,19,371,46,93,10,69,11,54,1,43,88,32,32,0,0,0,503,1113,249,486,26,35,80246,77911,1297,1163,410,44,671,80246,3322,2908,61,93,260,76924,74470,689,505,349,32,9,870,104,766,36994
2011,Elmore County,Alabama,78641,38593,40048,4816,5459,4951,5762,5106,10311,11675,12071,5202,4095,5539,2566,1088,37.6,59886,56460,11566,9193,59886,29076,30810,9193,4120,5073,78641,77422,1219,77422,59687,15757,317,133,0,0,17,426,41,0,85,16,31,125,1,51,128,0,0,0,0,0,1235,1219,536,280,184,40,78641,60772,16446,688,745,0,1279,78641,2071,1550,85,0,436,76570,58959,15672,317,426,0,0,1196,21,1175,32293
2011,Jackson County,Alabama,53357,26313,27044,3015,3545,3362,3452,2810,6119,6975,8124,3742,3642,5156,2775,640,41.5,41264,39360,10606,8571,41264,20043,21221,8571,3768,4803,53357,52160,1197,52160,49037,1829,853,697,0,3,0,202,93,36,35,16,22,0,1,71,0,16,0,14,2,0,223,1197,202,814,31,7,53357,50182,2087,1694,233,98,280,53357,1285,815,47,43,380,52072,48091,1829,853,193,16,3,1087,3,1084,24794
2011,Talladega County,Alabama,82265,39967,42298,4968,4839,6029,5927,4832,9874,11491,12300,5747,4849,6596,3743,1070,39.2,62867,59459,14288,11409,62867,30308,32559,11409,4800,6609,82265,81562,703,81562,53876,26405,270,170,0,0,0,380,19,132,99,73,36,0,1,121,21,0,0,0,0,0,631,703,193,276,20,46,82265,54489,26677,603,424,60,739,82265,1632,1301,119,45,167,80633,53158,26201,238,380,0,42,614,19,595,36909
2011,Washington County,Alabama,17487,8852,8635,965,1457,1249,1351,896,1909,2239,2608,1173,1080,1446,887,227,39.0,13008,12224,3146,2560,13008,6312,6696,2560,1165,1395,17487,17344,143,17344,11441,4446,1346,64,0,0,0,51,4,0,0,0,0,32,1,129,15,31,31,0,0,0,29,143,20,109,13,0,17487,11583,4466,1456,65,31,29,17487,110,108,0,0,2,17377,11407,4371,1346,51,31,29,142,0,142,8410
2011,Clay County,Alabama,14010,6833,7177,799,814,1022,793,737,1572,1943,1974,1012,832,1416,776,320,41.7,10866,10467,3010,2512,10866,5246,5620,2512,1112,1400,14010,13822,188,13822,11431,2213,21,8,0,13,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,157,188,43,139,0,0,14010,11619,2256,160,0,0,163,14010,378,181,56,141,0,13632,11228,2213,21,0,0,0,170,6,164,6779
2011,Morgan County,Alabama,118521,58073,60448,7564,8162,7732,8083,6929,14897,16326,17698,7827,6776,9465,5282,1780,38.6,89995,85870,20794,16527,89995,43721,46274,16527,7101,9426,118521,116443,2078,116443,97473,14009,1212,706,0,0,35,823,154,53,68,141,110,251,1,103,46,92,50,5,0,37,2834,2078,672,919,31,74,118521,99317,15014,2313,959,106,3057,118521,8529,6900,134,32,1463,109992,92586,13787,823,803,92,18,1883,24,1859,51026
2011,Chilton County,Alabama,43444,21434,22010,2999,2757,3258,2910,2699,5539,6056,6070,2819,2436,3448,1865,588,37.3,32556,31024,7085,5901,32556,15910,16646,5901,2625,3276,43444,42907,537,42907,37978,4169,253,41,0,0,0,103,10,22,5,4,14,43,1,21,5,0,0,0,0,0,404,537,317,131,49,0,43444,38497,4514,394,152,0,434,43444,3052,2992,8,0,52,40392,35501,4051,153,99,0,51,537,30,507,19231
2011,Colbert County,Alabama,54478,26201,28277,3096,3247,3508,3662,2973,6069,7165,8259,3656,3428,5189,3111,1115,41.7,42381,40352,11396,9415,42381,19924,22457,9415,3934,5481,54478,53721,757,53721,44084,8785,326,66,0,0,97,208,67,62,25,18,0,4,1,33,32,0,0,0,0,0,318,757,224,229,65,59,54478,44696,9150,614,279,4,492,54478,1115,627,114,34,340,53363,43457,8761,326,208,0,12,599,20,579,25697
