year,county,state,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over.1,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over.1,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch.1,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is.1,race_one_race_native_hawaiian_and_other_pacific_is.2,race_one_race_native_hawaiian_and_other_pacific_is.3,race_one_race_native_hawaiian_and_other_pacific_is.4,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more.1,race_race_alone_or_in_combination_with_one_or_more.2,race_race_alone_or_in_combination_with_one_or_more.3,race_race_alone_or_in_combination_with_one_or_more.4,race_race_alone_or_in_combination_with_one_or_more.5,race_race_alone_or_in_combination_with_one_or_more.6,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa.1,hispanic_or_latino_and_race_total_population_hispa.2,hispanic_or_latino_and_race_total_population_hispa.3,hispanic_or_latino_and_race_total_population_hispa.4,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h.1,hispanic_or_latino_and_race_total_population_not_h.2,hispanic_or_latino_and_race_total_population_not_h.3,hispanic_or_latino_and_race_total_population_not_h.4,hispanic_or_latino_and_race_total_population_not_h.5,hispanic_or_latino_and_race_total_population_not_h.6,hispanic_or_latino_and_race_total_population_not_h.7,hispanic_or_latino_and_race_total_population_not_h.8,hispanic_or_latino_and_race_total_population_not_h.9,total_housing_units
2013,Coosa County,Alabama,11198,5670,5528,533,651,583,715,580,1070,1526,1796,991,811,1147,609,186,44.7,8990,8570,2335,1942,8990,4444,4546,1942,876,1066,11198,11029,169,11029,7587,3424,8,8,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,10,169,134,35,0,0,11198,7756,3558,43,0,0,10,11198,229,229,0,0,0,10969,7368,3424,8,0,0,0,169,0,169,6453
2013,DeKalb County,Alabama,71076,34964,36112,4722,4935,5252,4872,4299,8518,9550,9889,4126,4675,5977,3316,945,38.8,53027,50369,13135,10238,53027,25787,27240,10238,4409,5829,71076,69186,1890,69186,64749,1293,944,444,31,13,0,239,0,22,93,0,70,38,1,49,16,5,5,0,0,0,1956,1890,403,1222,5,23,71076,66616,1772,2242,244,5,2140,71076,9790,6019,479,335,2957,61286,57799,1172,724,239,5,0,1347,4,1343,30969
2013,Dale County,Alabama,50102,24692,25410,3491,3313,3247,3531,3393,7304,6089,6681,3402,2647,4086,2113,805,36.1,37894,35822,8475,7004,37894,18496,19398,7004,3006,3998,50102,48609,1493,48609,37616,9690,194,71,18,6,0,633,101,39,132,49,103,65,1,45,144,45,0,0,4,41,431,1493,527,482,192,84,50102,38944,10416,792,885,87,530,50102,2845,1545,857,74,369,47257,35311,9495,189,633,45,259,1325,55,1270,22693
2013,Hale County,Alabama,15594,7403,8191,944,931,1165,1160,902,1810,1721,2377,1118,1014,1352,829,271,40.7,11824,11155,2981,2452,11824,5533,6291,2452,1043,1409,15594,15555,39,15555,6207,9219,42,22,13,0,0,41,0,0,0,0,0,41,1,65,0,13,13,0,0,0,33,39,4,21,0,0,15594,6238,9231,63,49,13,39,15594,52,33,0,5,14,15542,6202,9205,42,41,13,0,39,6,33,7642
2013,Etowah County,Alabama,104260,50390,53870,6115,6378,6913,6816,6561,12018,13907,14591,7042,7110,9453,5201,2155,40.3,80576,76376,20882,16809,80576,38227,42349,16809,7055,9754,104260,102795,1465,102795,85307,15862,430,266,0,0,8,682,70,225,122,43,46,93,1,55,83,61,0,61,0,0,453,1465,476,602,122,42,104260,86596,16452,1120,855,108,594,104260,3604,2467,51,13,1073,100656,82379,15848,341,682,61,30,1315,19,1296,47419
2013,Escambia County,Alabama,38169,19704,18465,2356,2227,2592,2379,2413,4926,5032,5519,2641,2160,3452,1647,825,39.4,29573,27987,7314,5924,29573,15423,14150,5924,2566,3358,38169,37776,393,37776,23832,12370,1337,87,0,0,0,109,0,6,3,0,4,25,1,53,71,15,0,15,0,0,113,393,116,162,12,1,38169,24207,12487,1517,138,15,198,38169,756,547,63,17,129,37413,23311,12316,1337,109,15,17,308,0,308,16432
2013,Lamar County,Alabama,14396,6934,7462,800,1008,824,790,810,1497,1809,2058,1141,893,1585,933,248,42.9,11232,10855,3216,2766,11232,5359,5873,2766,1192,1574,14396,14293,103,14293,12564,1687,33,16,0,0,0,3,0,3,0,0,0,0,1,75,0,0,0,0,0,0,6,103,87,7,9,0,14396,12667,1774,40,12,0,6,14396,190,145,37,0,8,14206,12380,1687,33,3,0,0,103,0,103,7337
2013,Randolph County,Alabama,22819,11147,11672,1303,1284,1739,1641,1357,2273,2842,3167,1722,1452,2328,1213,498,41.5,17557,16620,4817,4039,17557,8412,9145,4039,1756,2283,22819,22488,331,22488,17527,4643,80,13,0,0,0,38,0,0,38,0,0,0,1,111,0,0,0,0,0,0,200,331,114,87,31,41,22819,17817,4806,208,77,0,250,22819,667,540,60,7,60,22152,17173,4609,35,38,0,0,297,16,281,11910
2013,Butler County,Alabama,20624,9656,10968,1292,1406,1394,1183,1269,2480,2346,2848,1511,1349,1885,1250,411,40.6,15739,15191,4303,3546,15739,7088,8651,3546,1406,2140,20624,20496,128,20496,11300,9024,24,16,0,0,0,106,0,0,0,0,29,44,1,13,33,0,0,0,0,0,42,128,38,38,6,7,20624,11382,9108,69,117,0,76,20624,220,168,0,0,52,20404,11113,9024,24,106,0,9,128,34,94,9931
2013,Mobile County,Alabama,413188,198234,214954,27990,27409,28851,29207,29833,54216,51071,58372,27098,24059,31585,16876,6621,36.7,311139,293733,69146,55082,311139,146239,164900,55082,23020,32062,413188,406991,6197,406991,250269,143681,3187,295,12,0,45,7850,1373,720,473,101,292,2872,1,97,2019,54,29,9,0,16,1950,6197,2053,2099,787,429,413188,255675,146590,5883,8899,174,2397,413188,10221,4750,842,733,3896,402967,242823,143421,2981,7805,45,110,5782,137,5645,179154
