year,county,state,number_sex_and_age_total_population,number_sex_and_age_total_population_male,number_sex_and_age_total_population_female,number_sex_and_age_total_population_under_5_years,number_sex_and_age_total_population_5_to_9_years,number_sex_and_age_total_population_10_to_14_years,number_sex_and_age_total_population_15_to_19_years,number_sex_and_age_total_population_20_to_24_years,number_sex_and_age_total_population_25_to_34_years,number_sex_and_age_total_population_35_to_44_years,number_sex_and_age_total_population_45_to_54_years,number_sex_and_age_total_population_55_to_59_years,number_sex_and_age_total_population_60_to_64_years,number_sex_and_age_total_population_65_to_74_years,number_sex_and_age_total_population_75_to_84_years,number_sex_and_age_total_population_85_years_and_o,number_sex_and_age_total_population_median_age_yea,number_sex_and_age_total_population_18_years_and_o,number_sex_and_age_total_population_21_years_and_o,number_sex_and_age_total_population_62_years_and_o,number_sex_and_age_total_population_65_years_and_o,number_sex_and_age_total_population_18_years_and_o.1,number_sex_and_age_total_population_18_years_and_o.2,number_sex_and_age_total_population_18_years_and_o.3,number_sex_and_age_total_population_65_years_and_o.1,number_sex_and_age_total_population_65_years_and_o.2,number_sex_and_age_total_population_65_years_and_o.3,number_race_total_population,number_race_total_population_one_race,number_race_total_population_two_or_more_races,number_race_one_race,number_race_one_race_white,number_race_one_race_black_or_african_american,number_race_one_race_american_indian_and_alaska_na,number_race_one_race_american_indian_and_alaska_na.1,number_race_one_race_american_indian_and_alaska_na.2,number_race_one_race_american_indian_and_alaska_na.3,number_race_one_race_american_indian_and_alaska_na.4,number_race_one_race_asian,number_race_one_race_asian_asian_indian,number_race_one_race_asian_chinese,number_race_one_race_asian_filipino,number_race_one_race_asian_japanese,number_race_one_race_asian_korean,number_race_one_race_asian_vietnamese,state_fips,county_fips,number_race_one_race_asian_other_asian,number_race_one_race_native_hawaiian_and_other_pac,number_race_one_race_native_hawaiian_and_other_pac.1,number_race_one_race_native_hawaiian_and_other_pac.2,number_race_one_race_native_hawaiian_and_other_pac.3,number_race_one_race_native_hawaiian_and_other_pac.4,number_race_one_race_some_other_race,number_race_two_or_more_races,number_race_two_or_more_races_white_and_black_or_a,number_race_two_or_more_races_white_and_american_i,number_race_two_or_more_races_white_and_asian,number_race_two_or_more_races_black_or_african_ame,number_race_alone_or_in_combination_with_one_or_mo,number_race_alone_or_in_combination_with_one_or_mo.1,number_race_alone_or_in_combination_with_one_or_mo.2,number_race_alone_or_in_combination_with_one_or_mo.3,number_race_alone_or_in_combination_with_one_or_mo.4,number_race_alone_or_in_combination_with_one_or_mo.5,number_race_alone_or_in_combination_with_one_or_mo.6,number_hispanic_or_latino_and_race_total_populatio,number_hispanic_or_latino_and_race_total_populatio.1,number_hispanic_or_latino_and_race_total_populatio.2,number_hispanic_or_latino_and_race_total_populatio.3,number_hispanic_or_latino_and_race_total_populatio.4,number_hispanic_or_latino_and_race_total_populatio.5,number_hispanic_or_latino_and_race_total_populatio.6,number_hispanic_or_latino_and_race_total_populatio.7,number_hispanic_or_latino_and_race_total_populatio.8,number_hispanic_or_latino_and_race_total_populatio.9,number_hispanic_or_latino_and_race_total_populatio.10,number_hispanic_or_latino_and_race_total_populatio.11,number_hispanic_or_latino_and_race_total_populatio.12,number_hispanic_or_latino_and_race_total_populatio.13,number_hispanic_or_latino_and_race_total_populatio.14,number_hispanic_or_latino_and_race_total_populatio.15,number_total_housing_units
2009,Estill County,Kentucky,14880,7213,7667,939,777,1119,1066,655,1988,2264,2140,811,1089,1188,544,300,38.8,11399,10829,2607,2032,11399,5486,5913,2032,862,1170,14880,14639,241,14639,14588,6,45,25,0,0,0,0,0,0,0,0,0,0,21,65,0,0,0,0,0,0,0,241,0,188,0,0,14880,14829,6,233,0,0,53,14880,59,6,0,53,0,14821,14582,6,45,0,0,0,188,0,188,7128
2009,Fayette County,Kentucky,287537,141698,145839,19534,16733,15612,20168,34899,42913,40203,39299,16025,11942,15668,10328,4213,33.4,226176,208373,36420,30209,226176,110325,115851,30209,12352,17857,287537,282294,5243,282294,226280,38968,507,137,0,0,0,9021,2862,2359,440,1440,652,490,21,67,778,246,103,132,0,11,7272,5243,2106,952,702,262,287537,230932,41938,2056,9913,322,8024,287537,16948,12759,649,339,3201,270589,217724,38592,444,9001,114,437,4277,139,4138,130258
2009,Fleming County,Kentucky,14604,7162,7442,931,1213,779,1003,814,1794,2127,2146,1136,702,1090,703,166,39.0,11013,10467,2397,1959,11013,5294,5719,1959,841,1118,14604,14439,165,14439,14099,109,0,0,0,0,0,0,0,0,0,0,0,0,21,69,0,0,0,0,0,0,231,165,41,32,0,17,14604,14180,175,124,67,0,231,14604,241,204,0,0,37,14363,14089,109,0,0,0,0,165,0,165,6402
2009,Floyd County,Kentucky,41965,20311,21654,2699,2608,2395,2680,2720,5805,6153,6398,2923,2266,2977,1709,632,38.4,32544,30918,6597,5318,32544,15520,17024,5318,2274,3044,41965,41763,202,41763,40569,617,30,0,0,0,0,181,0,127,21,33,0,0,21,71,0,175,61,0,0,114,191,202,22,48,34,0,41965,40718,655,78,266,246,226,41965,327,221,48,0,58,41638,40466,617,0,181,153,68,153,0,153,19605
2009,Franklin County,Kentucky,48666,23724,24942,3068,2987,2791,3311,3255,5800,7380,7510,3564,2608,3589,2052,751,39.3,38013,35826,7844,6392,38013,18201,19812,6392,2651,3741,48666,47983,683,47983,41763,5034,47,18,0,0,0,550,227,57,140,40,0,40,21,73,46,0,0,0,0,0,589,683,468,61,58,0,48666,42411,5556,151,608,0,661,48666,1025,700,142,0,183,47641,41437,4906,47,517,0,175,559,30,529,23000
2009,Fulton County,Kentucky,6918,3218,3700,440,380,409,435,387,692,1022,1038,525,352,579,514,145,42.8,5349,5154,1455,1238,5349,2412,2937,1238,470,768,6918,6892,26,6892,5064,1740,12,0,0,0,0,76,76,0,0,0,0,0,21,75,0,0,0,0,0,0,0,26,24,2,0,0,6918,5090,1764,14,76,0,0,6918,60,10,0,0,50,6858,5010,1734,12,76,0,0,26,0,26,3764
2009,Gallatin County,Kentucky,8090,4034,4056,590,463,704,668,599,706,1269,1273,431,488,524,220,155,39.1,5934,5589,1215,899,5934,2956,2978,899,388,511,8090,8013,77,8013,7691,124,0,0,0,0,0,21,21,0,0,0,0,0,21,77,0,0,0,0,0,0,177,77,50,27,0,0,8090,7768,174,27,21,0,177,8090,204,185,0,0,19,7886,7672,116,0,21,0,0,77,0,77,3637
2009,Garrard County,Kentucky,16829,8286,8543,1011,1172,1074,1252,629,2280,2530,2591,1130,892,1332,727,209,39.2,12861,12272,2782,2268,12861,6186,6675,2268,999,1269,16829,16694,135,16694,16003,427,31,0,0,31,0,11,0,0,0,0,11,0,21,79,0,0,0,0,0,0,222,135,99,5,0,31,16829,16107,557,67,11,0,222,16829,410,410,0,0,0,16419,15815,427,31,11,0,0,135,0,135,6721
2009,Grant County,Kentucky,25088,12368,12720,1988,1936,2016,1759,1362,3771,3756,3493,1273,1280,1466,746,242,34.3,17958,17200,3213,2454,17958,8754,9204,2454,1082,1372,25088,24888,200,24888,24341,250,0,0,0,0,0,14,0,0,0,0,14,0,21,81,0,93,93,0,0,0,190,200,31,56,0,0,25088,24541,281,56,14,181,215,25088,388,286,36,0,66,24700,24155,250,0,14,93,13,175,0,175,10501
2009,Graves County,Kentucky,37516,18221,19295,2374,2892,2362,2348,2094,4480,4815,5488,2548,2041,3132,1974,968,39.9,28412,26974,7214,6074,28412,13573,14839,6074,2452,3622,37516,36961,555,36961,34453,1521,78,0,0,0,0,114,61,27,7,0,12,0,21,83,7,33,33,0,0,0,762,555,348,169,38,0,37516,35008,1869,247,152,33,762,37516,1928,1568,59,0,301,35588,33282,1498,78,114,33,28,555,0,555,16924
2009,Grayson County,Kentucky,25320,12546,12774,1770,1877,1609,1548,1412,3297,3225,3658,1771,1398,2149,1316,290,38.9,19028,18157,4526,3755,19028,9274,9754,3755,1673,2082,25320,24846,474,24846,24706,88,14,14,0,0,0,38,0,38,0,0,0,0,21,85,0,0,0,0,0,0,0,474,321,153,0,0,25320,25180,409,167,38,0,0,25320,97,53,0,0,44,25223,24638,59,14,38,0,0,474,0,474,13111
2009,Green County,Kentucky,11513,5703,5810,630,626,768,742,605,1311,1533,1827,862,651,1058,607,293,43.0,8977,8659,2418,1958,8977,4364,4613,1958,801,1157,11513,11398,115,11398,10974,298,39,0,0,0,0,28,0,13,0,0,0,0,21,87,15,0,0,0,0,0,59,115,0,43,0,0,11513,11089,298,82,28,0,131,11513,174,112,0,0,62,11339,10920,298,39,28,0,0,54,11,43,5498
2009,Greenup County,Kentucky,37517,18063,19454,2159,2026,2630,2308,1981,4344,5010,5583,2806,2117,3574,2414,565,41.5,29188,27891,7694,6553,29188,13789,15399,6553,2826,3727,37517,37005,512,37005,36533,188,25,0,2,0,6,179,44,64,32,0,0,4,21,89,35,0,0,0,0,0,80,512,110,216,6,0,37517,36946,379,322,284,0,179,37517,274,18,190,0,66,37243,36471,188,25,179,0,0,380,0,380,16470
2009,Hancock County,Kentucky,8601,4286,4315,589,620,646,608,419,978,1252,1297,503,629,617,318,125,38.3,6300,6029,1368,1060,6300,3107,3193,1060,477,583,8601,8476,125,8476,8317,68,31,4,7,0,0,0,0,0,0,0,0,0,21,91,0,0,0,0,0,0,60,125,42,60,5,0,8601,8442,110,91,5,0,78,8601,103,59,41,1,2,8498,8302,68,31,0,0,0,97,0,97,3713
2009,Hardin County,Kentucky,98113,48584,49529,7763,6707,6788,7360,7537,12070,13810,14652,5553,4582,6391,3633,1267,35.6,72303,68126,13770,11291,72303,35545,36758,11291,4746,6545,98113,95907,2206,95907,81675,10763,376,235,9,0,12,2186,38,216,727,291,465,95,21,93,354,188,11,150,27,0,719,2206,892,310,406,13,98113,83728,12057,868,2803,245,931,98113,3819,1799,1010,101,909,94294,78985,10581,358,2186,188,70,1926,26,1900,43620
2009,Harlan County,Kentucky,30999,14813,16186,1954,1890,2158,2041,1877,3766,4149,4720,2438,1723,2323,1519,441,40.0,23647,22689,5148,4283,23647,11172,12475,4283,1763,2520,30999,30571,428,30571,29352,889,155,118,0,0,0,39,0,0,39,0,0,0,21,95,0,14,0,14,0,0,122,428,18,232,112,17,30999,29763,973,453,151,14,122,30999,256,134,122,0,0,30743,29259,889,155,39,14,0,387,0,387,15693
2009,Harrison County,Kentucky,18531,8968,9563,1173,1191,1264,1181,965,2138,2817,3032,1285,922,1394,690,479,40.2,14106,13567,3025,2563,14106,6816,7290,2563,1094,1469,18531,18390,141,18390,17616,491,0,0,0,0,0,66,0,0,66,0,0,0,21,97,0,0,0,0,0,0,217,141,13,101,27,0,18531,17757,504,101,93,0,217,18531,335,322,0,0,13,18196,17498,491,0,66,0,0,141,0,141,8154
2009,Hart County,Kentucky,18288,9070,9218,1142,944,1552,1247,1005,2282,2635,2734,1308,924,1429,752,334,39.0,13815,13020,2997,2515,13815,6717,7098,2515,1090,1425,18288,18111,177,18111,16987,1108,5,5,0,0,0,3,0,0,0,0,0,0,21,99,3,8,0,0,8,0,0,177,56,32,70,0,18288,17164,1164,37,73,27,0,18288,107,103,3,0,1,18181,16881,1107,5,3,8,0,177,0,177,8377
