"Label (Grouping)","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error"
"                Different state","2,443,682","±16,274","12.3%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","499,877","±7,399","2.5%","±0.1"
"        Foreign-born","4,526,014","±18,555","22.8%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","4,526,014","±18,555","4,526,014","(X)"
"        Naturalized U.S. citizen","2,693,804","±13,715","59.5%","±0.3"
"        Not a U.S. citizen","1,832,210","±16,897","40.5%","±0.3"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","5,025,891","±20,329","5,025,891","(X)"
"        Native","499,877","±7,399","499,877","(X)"
"            Entered 2010 or later","144,964","±4,645","29.0%","±0.7"
"            Entered before 2010","354,913","±5,595","71.0%","±0.7"
"        Foreign-born","4,526,014","±18,555","4,526,014","(X)"
"            Entered 2010 or later","1,325,284","±14,575","29.3%","±0.3"
"            Entered before 2010","3,200,730","±13,209","70.7%","±0.3"
"WORLD REGION OF BIRTH OF FOREIGN-BORN","","","",""
"    Foreign-born population, excluding population born at sea","4,525,937","±18,576","4,525,937","(X)"
"        Europe","682,256","±8,337","15.1%","±0.2"
"        Asia","1,339,333","±8,980","29.6%","±0.2"
"        Africa","224,616","±5,620","5.0%","±0.1"
"        Oceania","16,261","±1,669","0.4%","±0.1"
"        Latin America","2,203,659","±15,135","48.7%","±0.2"
"        Northern America","59,812","±2,545","1.3%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","18,772,412","±478","18,772,412","(X)"
"        English only","12,975,172","±23,810","69.1%","±0.1"
"        Language other than English","5,797,240","±23,778","30.9%","±0.1"
"            Speak English less than ""very well""","2,550,611","±19,544","13.6%","±0.1"
"        Spanish","2,772,893","±13,482","14.8%","±0.1"
"            Speak English less than ""very well""","1,235,249","±12,400","6.6%","±0.1"
"        Other Indo-European languages","1,694,224","±15,928","9.0%","±0.1"
"            Speak English less than ""very well""","673,004","±10,351","3.6%","±0.1"
"        Asian and Pacific Islander languages","966,819","±9,910","5.2%","±0.1"
"            Speak English less than ""very well""","528,918","±5,932","2.8%","±0.1"
