state,county_name,year,state_po,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
NEW YORK,BRONX,2024,NY,36005.0,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,59,362890,20260120,TOTAL VOTES
NEW YORK,BRONX,2024,NY,36005.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,98174,362890,20260120,TOTAL VOTES
NEW YORK,BRONX,2024,NY,36005.0,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,261670,362890,20260120,TOTAL VOTES
NEW YORK,BRONX,2024,NY,36005.0,US PRESIDENT,OTHER,OTHER,2987,362890,20260120,TOTAL VOTES
NEW YORK,KINGS,2024,NY,36047.0,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,601265,847934,20260120,TOTAL VOTES
NEW YORK,KINGS,2024,NY,36047.0,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,272,847934,20260120,TOTAL VOTES
NEW YORK,KINGS,2024,NY,36047.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,233964,847934,20260120,TOTAL VOTES
NEW YORK,KINGS,2024,NY,36047.0,US PRESIDENT,OTHER,OTHER,12433,847934,20260120,TOTAL VOTES
NEW YORK,NEW YORK,2024,NY,36061.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,113921,654372,20260120,TOTAL VOTES
NEW YORK,NEW YORK,2024,NY,36061.0,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,551,654372,20260120,TOTAL VOTES
NEW YORK,NEW YORK,2024,NY,36061.0,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,533782,654372,20260120,TOTAL VOTES
NEW YORK,NEW YORK,2024,NY,36061.0,US PRESIDENT,OTHER,OTHER,6118,654372,20260120,TOTAL VOTES
NEW YORK,QUEENS,2024,NY,36081.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,264628,712191,20260120,TOTAL VOTES
NEW YORK,QUEENS,2024,NY,36081.0,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,251,712191,20260120,TOTAL VOTES
NEW YORK,QUEENS,2024,NY,36081.0,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,437282,712191,20260120,TOTAL VOTES
NEW YORK,QUEENS,2024,NY,36081.0,US PRESIDENT,OTHER,OTHER,10030,712191,20260120,TOTAL VOTES
NEW YORK,RICHMOND,2024,NY,36085.0,US PRESIDENT,CHASE OLIVER,LIBERTARIAN,68,199620,20260120,TOTAL VOTES
NEW YORK,RICHMOND,2024,NY,36085.0,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,128151,199620,20260120,TOTAL VOTES
NEW YORK,RICHMOND,2024,NY,36085.0,US PRESIDENT,KAMALA D HARRIS,DEMOCRAT,69345,199620,20260120,TOTAL VOTES
NEW YORK,RICHMOND,2024,NY,36085.0,US PRESIDENT,OTHER,OTHER,2056,199620,20260120,TOTAL VOTES
NEW YORK,BRONX,2000,NY,36005.0,US PRESIDENT,AL GORE,DEMOCRAT,265801,308048,20260120,TOTAL
NEW YORK,BRONX,2000,NY,36005.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,36245,308048,20260120,TOTAL
NEW YORK,BRONX,2000,NY,36005.0,US PRESIDENT,OTHER,OTHER,1737,308048,20260120,TOTAL
NEW YORK,BRONX,2000,NY,36005.0,US PRESIDENT,RALPH NADER,GREEN,4265,308048,20260120,TOTAL
NEW YORK,KINGS,2000,NY,36047.0,US PRESIDENT,AL GORE,DEMOCRAT,497468,617105,20260120,TOTAL
NEW YORK,KINGS,2000,NY,36047.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,96605,617105,20260120,TOTAL
NEW YORK,KINGS,2000,NY,36047.0,US PRESIDENT,OTHER,OTHER,3055,617105,20260120,TOTAL
NEW YORK,KINGS,2000,NY,36047.0,US PRESIDENT,RALPH NADER,GREEN,19977,617105,20260120,TOTAL
NEW YORK,NEW YORK,2000,NY,36061.0,US PRESIDENT,AL GORE,DEMOCRAT,449300,563232,20260120,TOTAL
NEW YORK,NEW YORK,2000,NY,36061.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,79921,563232,20260120,TOTAL
NEW YORK,NEW YORK,2000,NY,36061.0,US PRESIDENT,OTHER,OTHER,3088,563232,20260120,TOTAL
NEW YORK,NEW YORK,2000,NY,36061.0,US PRESIDENT,RALPH NADER,GREEN,30923,563232,20260120,TOTAL
NEW YORK,QUEENS,2000,NY,36081.0,US PRESIDENT,AL GORE,DEMOCRAT,416967,555930,20260120,TOTAL
NEW YORK,QUEENS,2000,NY,36081.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,122052,555930,20260120,TOTAL
NEW YORK,QUEENS,2000,NY,36081.0,US PRESIDENT,OTHER,OTHER,3191,555930,20260120,TOTAL
NEW YORK,QUEENS,2000,NY,36081.0,US PRESIDENT,RALPH NADER,GREEN,13720,555930,20260120,TOTAL
NEW YORK,RICHMOND,2000,NY,36085.0,US PRESIDENT,AL GORE,DEMOCRAT,73828,142121,20260120,TOTAL
NEW YORK,RICHMOND,2000,NY,36085.0,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,63903,142121,20260120,TOTAL
