"Label (Grouping)","New York!!2024 Estimate","New York!!2023 Estimate","New York!!2024 - 2023 Statistical Significance","New York!!2022 Estimate","New York!!2024 - 2022 Statistical Significance","New York!!2021 Estimate","New York!!2024 - 2021 Statistical Significance","New York!!2020 Estimate","New York!!2024 - 2020 Statistical Significance"
"HOUSING OCCUPANCY","","","","","","","","",""
"    Total housing units","8,676,911","8,631,232","*","8,585,784","*","8,530,561","*","(X)",""
"        Occupied housing units","90.2%","90.5%","","90.5%","*","89.7%","*","(X)",""
"        Vacant housing units","9.8%","9.5%","","9.5%","*","10.3%","*","(X)",""
"        Homeowner vacancy rate","1.1","1.1","","1.0","","1.0","","(X)",""
"        Rental vacancy rate","3.8","3.4","*","3.5","*","4.2","*","(X)",""
"UNITS IN STRUCTURE","","","","","","","","",""
"    Total housing units","8,676,911","8,631,232","*","8,585,784","*","8,530,561","*","(X)",""
"        1-unit, detached","40.8%","40.8%","","41.1%","","42.1%","*","(X)",""
"        1-unit, attached","5.4%","5.5%","","5.4%","","5.4%","","(X)",""
"        2 units","9.3%","9.5%","","9.6%","*","9.3%","","(X)",""
"        3 or 4 units","7.1%","7.1%","","6.9%","","6.6%","*","(X)",""
"        5 to 9 units","5.3%","5.4%","","5.2%","","5.1%","*","(X)",""
"        10 to 19 units","4.4%","4.4%","","4.4%","","4.2%","*","(X)",""
"        20 or more units","25.6%","25.2%","*","25.2%","*","25.2%","*","(X)",""
"        Mobile home","2.1%","2.2%","","2.1%","","2.0%","","(X)",""
"        Boat, RV, van, etc.","0.0%","0.0%","","0.0%","","0.0%","","(X)",""
"YEAR STRUCTURE BUILT","","","","","","","","",""
"    Total housing units","8,676,911","8,631,232","*","8,585,784","*","8,530,561","*","(X)",""
"        Built 2020 or later","1.5%","1.1%","*","0.7%","*","0.3%","*","(X)",""
"        Built 2010 to 2019","5.6%","5.6%","","5.6%","","5.3%","*","(X)",""
"        Built 2000 to 2009","6.5%","6.4%","","6.4%","","6.4%","","(X)",""
"        Built 1990 to 1999","5.7%","5.8%","","5.7%","","5.8%","","(X)",""
"        Built 1980 to 1989","7.5%","7.6%","","7.8%","*","7.7%","*","(X)",""
"        Built 1970 to 1979","9.8%","10.1%","","9.9%","","9.8%","","(X)",""
"        Built 1960 to 1969","12.1%","12.0%","","12.0%","","12.2%","","(X)",""
"        Built 1950 to 1959","13.8%","14.3%","*","14.2%","*","14.2%","*","(X)",""
"        Built 1940 to 1949","7.3%","7.6%","*","7.9%","*","7.7%","*","(X)",""
"        Built 1939 or earlier","30.1%","29.6%","*","29.8%","","30.7%","*","(X)",""
"ROOMS","","","","","","","","",""
"    Total housing units","8,676,911","8,631,232","*","8,585,784","*","8,530,561","*","(X)",""
"        1 room","5.1%","4.9%","","4.9%","","4.5%","*","(X)",""
"        2 rooms","5.3%","5.3%","","4.8%","*","4.7%","*","(X)",""
"        3 rooms","14.6%","14.4%","","14.7%","","14.8%","","(X)",""
"        4 rooms","18.3%","18.4%","","17.9%","","17.8%","*","(X)",""
"        5 rooms","15.6%","16.0%","*","16.1%","*","16.0%","*","(X)",""
"        6 rooms","14.3%","14.3%","","14.5%","","14.4%","","(X)",""
"        7 rooms","9.4%","9.4%","","9.6%","*","9.9%","*","(X)",""
"        8 rooms","7.5%","7.4%","","7.5%","","7.9%","*","(X)",""
"        9 rooms or more","10.2%","9.9%","*","9.9%","*","10.0%","","(X)",""
"        Median rooms","4.9","4.9","","5.0","","5.0","","(X)",""
"BEDROOMS","","","","","","","","",""
"    Total housing units","8,676,911","8,631,232","*","8,585,784","*","8,530,561","*","(X)",""
"        No bedroom","5.8%","5.7%","","5.7%","","5.2%","*","(X)",""
"        1 bedroom","18.9%","19.1%","","18.9%","","19.1%","","(X)",""
"        2 bedrooms","26.7%","26.6%","","26.4%","","26.3%","","(X)",""
"        3 bedrooms","30.7%","31.0%","","31.4%","*","31.3%","*","(X)",""
"        4 bedrooms","13.6%","13.3%","*","13.4%","","13.8%","*","(X)",""
"        5 or more bedrooms","4.4%","4.4%","","4.2%","*","4.3%","","(X)",""
"HOUSING TENURE","","","","","","","","",""
"    Occupied housing units","7,828,074","7,809,267","","7,774,308","*","7,652,666","*","(X)",""
"        Owner-occupied","54.3%","54.1%","","54.1%","","55.4%","*","(X)",""
"        Renter-occupied","45.7%","45.9%","","45.9%","","44.6%","*","(X)",""
"        Average household size of owner-occupied unit","2.63","2.62","","2.64","*","2.68","*","(X)",""
"        Average household size of renter-occupied unit","2.24","2.19","*","2.23","","2.31","*","(X)",""
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","","","",""
"    Occupied housing units","7,828,074","7,809,267","","7,774,308","*","7,652,666","*","(X)",""
"        Moved in 2023 or later","12.6%","(X)","","(X)","","(X)","","(X)",""
"        Moved in 2020 to 2022","19.8%","23.5%","*","21.9%","*","(X)","","(X)",""
"        Moved in 2010 to 2019","28.7%","31.6%","*","35.8%","*","40.4%","*","(X)",""
"        Moved in 2000 to 2009","16.2%","16.6%","*","17.5%","*","18.5%","*","(X)",""
"        Moved in 1990 to 1999","10.7%","11.1%","*","11.4%","*","12.3%","*","(X)",""
"        Moved in 1989 and earlier","12.0%","12.6%","*","13.4%","*","14.6%","*","(X)",""
"VEHICLES AVAILABLE","","","","","","","","",""
"    Occupied housing units","7,828,074","7,809,267","","7,774,308","*","7,652,666","*","(X)",""
"        No vehicles available","29.8%","29.7%","","29.1%","*","28.1%","*","(X)",""
"        1 vehicle available","33.6%","33.6%","","33.9%","","34.1%","*","(X)",""
"        2 vehicles available","25.0%","25.1%","","25.6%","*","25.8%","*","(X)",""
"        3 or more vehicles available","11.6%","11.6%","","11.4%","","12.0%","*","(X)",""
"HOUSE HEATING FUEL","","","","","","","","",""
"    Occupied housing units","7,828,074","7,809,267","","7,774,308","*","7,652,666","*","(X)",""
"        Utility gas","59.8%","58.7%","*","58.4%","*","58.7%","*","(X)",""
"        Bottled or tank gas (propane, butane, etc.)","4.7%","5.2%","*","5.2%","*","5.1%","*","(X)",""
"        Electricity","16.5%","16.2%","","15.3%","*","14.6%","*","(X)",""
"        Fuel oil, kerosene, etc.","14.6%","15.5%","*","16.5%","*","16.9%","*","(X)",""
"        Coal or coke","0.1%","0.2%","*","0.2%","*","0.2%","*","(X)",""
"        Wood","1.2%","1.3%","","1.3%","","1.4%","*","(X)",""
"        Solar energy","0.2%","0.1%","*","0.1%","*","0.1%","*","(X)",""
"        Other fuel","1.2%","1.3%","","1.3%","","1.3%","","(X)",""
"        No fuel used","1.6%","1.5%","","1.7%","*","1.7%","*","(X)",""
"SELECTED CHARACTERISTICS","","","","","","","","",""
