"Label (Grouping)","New York!!2024 Estimate","New York!!2023 Estimate","New York!!2024 - 2023 Statistical Significance","New York!!2022 Estimate","New York!!2024 - 2022 Statistical Significance","New York!!2021 Estimate","New York!!2024 - 2021 Statistical Significance","New York!!2020 Estimate","New York!!2024 - 2020 Statistical Significance"
"        Less than 9th grade","6.2%","5.8%","*","6.0%","*","5.9%","*","(X)",""
"        9th to 12th grade, no diploma","5.8%","5.8%","","6.1%","*","6.1%","*","(X)",""
"        High school graduate (includes equivalency)","24.0%","24.2%","","24.6%","*","24.4%","*","(X)",""
"        Some college, no degree","14.1%","14.4%","*","14.5%","*","14.9%","*","(X)",""
"        Associate's degree","8.7%","9.0%","*","8.8%","","8.9%","","(X)",""
"        Bachelor's degree","22.8%","22.6%","","22.3%","*","22.2%","*","(X)",""
"        Graduate or professional degree","18.4%","18.1%","*","17.7%","*","17.7%","*","(X)",""
"        High school graduate or higher","88.0%","88.3%","*","87.9%","","88.0%","","(X)",""
"        Bachelor's degree or higher","41.2%","40.6%","*","40.0%","*","39.9%","*","(X)",""
"VETERAN STATUS","","","","","","","","",""
"    Civilian population 18 years and over","15,872,839","15,595,323","*","15,668,604","*","15,704,243","*","(X)",""
"        Civilian veterans","3.5%","3.6%","*","3.7%","*","3.9%","*","(X)",""
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","19,666,716","19,372,405","*","19,475,046","*","19,599,048","*","(X)",""
"        With a disability","13.5%","13.0%","*","12.9%","*","12.0%","*","(X)",""
"    Under 18 years","3,967,969","3,947,061","*","3,975,934","*","4,097,477","*","(X)",""
"        With a disability","5.0%","4.8%","","4.7%","","4.2%","*","(X)",""
"    18 to 64 years","12,037,330","11,886,347","*","12,025,740","*","12,116,299","*","(X)",""
"        With a disability","10.5%","10.0%","*","10.0%","*","9.3%","*","(X)",""
"    65 years and over","3,661,417","3,538,997","*","3,473,372","*","3,385,272","*","(X)",""
"        With a disability","32.6%","32.4%","","32.4%","","31.1%","*","(X)",""
"RESIDENCE 1 YEAR AGO","","","","","","","","",""
"    Population 1 year and over","19,665,817","19,365,855","*","19,474,187","*","19,626,300","*","(X)",""
"        Same house","90.7%","90.4%","*","89.6%","*","89.6%","*","(X)",""
"        Different house (in the U.S. or abroad)","9.3%","9.6%","*","10.4%","*","10.4%","*","(X)",""
"            Different house in the U.S.","8.5%","8.8%","*","9.7%","*","10.0%","*","(X)",""
"                Same county","4.7%","4.7%","","5.3%","*","5.7%","*","(X)",""
"                Different county","3.8%","4.0%","*","4.4%","*","4.3%","*","(X)",""
"                    Same state","2.3%","2.5%","*","2.8%","*","2.8%","*","(X)",""
"                    Different state","1.5%","1.6%","*","1.5%","*","1.5%","","(X)",""
"            Abroad","0.9%","0.9%","","0.7%","*","0.5%","*","(X)",""
"PLACE OF BIRTH","","","","","","","","",""
"    Total population","19,867,248","19,571,216","c","19,677,151","c","19,835,913","c","(X)",""
"        Native","76.7%","76.9%","","77.3%","*","77.7%","*","(X)",""
"            Born in United States","74.2%","74.5%","*","74.7%","*","75.1%","*","(X)",""
"                State of residence","61.6%","62.1%","*","62.5%","*","63.0%","*","(X)",""
"                Different state","12.6%","12.4%","","12.2%","*","12.1%","*","(X)",""
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","2.6%","2.4%","*","2.6%","","2.5%","","(X)",""
"        Foreign-born","23.3%","23.1%","","22.7%","*","22.3%","*","(X)",""
"U.S. CITIZENSHIP STATUS","","","","","","","","",""
