"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"            Born in United States","281,864,949","±132,574","84.2%","±0.1"
"                State of residence","191,812,943","±89,461","57.3%","±0.1"
"                Different state","90,052,006","±141,213","26.9%","±0.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,708,472","±28,855","1.7%","±0.1"
"        Foreign-born","47,349,078","±143,642","14.1%","±0.1"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","47,349,078","±143,642","47,349,078","(X)"
"        Naturalized U.S. citizen","24,674,406","±44,809","52.1%","±0.2"
"        Not a U.S. citizen","22,674,672","±144,855","47.9%","±0.2"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","53,057,550","±132,833","53,057,550","(X)"
"        Native","5,708,472","±28,855","5,708,472","(X)"
"            Entered 2010 or later","1,844,809","±18,438","32.3%","±0.2"
"            Entered before 2010","3,863,663","±19,940","67.7%","±0.2"
"        Foreign-born","47,349,078","±143,642","47,349,078","(X)"
"            Entered 2010 or later","15,180,215","±76,326","32.1%","±0.1"
"            Entered before 2010","32,168,863","±83,350","67.9%","±0.1"
"WORLD REGION OF BIRTH OF FOREIGN-BORN","","","",""
"    Foreign-born population, excluding population born at sea","47,348,715","±143,634","47,348,715","(X)"
"        Europe","4,853,586","±22,518","10.3%","±0.1"
"        Asia","14,579,444","±37,792","30.8%","±0.1"
"        Africa","2,762,710","±24,716","5.8%","±0.1"
"        Oceania","301,021","±6,235","0.6%","±0.1"
"        Latin America","24,012,139","±108,032","50.7%","±0.1"
"        Northern America","839,815","±8,866","1.8%","±0.1"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","316,142,548","±4,130","316,142,548","(X)"
"        English only","245,767,039","±220,970","77.7%","±0.1"
"        Language other than English","70,375,509","±219,970","22.3%","±0.1"
"            Speak English less than ""very well""","27,139,643","±145,030","8.6%","±0.1"
"        Spanish","42,869,908","±143,809","13.6%","±0.1"
"            Speak English less than ""very well""","17,218,782","±106,783","5.4%","±0.1"
"        Other Indo-European languages","12,249,474","±65,386","3.9%","±0.1"
"            Speak English less than ""very well""","3,789,662","±33,743","1.2%","±0.1"
"        Asian and Pacific Islander languages","11,320,253","±30,651","3.6%","±0.1"
"            Speak English less than ""very well""","4,964,172","±21,072","1.6%","±0.1"
"        Other languages","3,935,874","±38,082","1.2%","±0.1"
"            Speak English less than ""very well""","1,167,027","±17,647","0.4%","±0.1"
"ANCESTRY","","","",""
"    Total population","334,922,499","*****","334,922,499","(X)"
"        American","17,776,954","±83,899","5.3%","±0.1"
"        Arab","2,255,221","±27,925","0.7%","±0.1"
"        Czech","1,226,980","±10,646","0.4%","±0.1"
"        Danish","1,134,225","±13,024","0.3%","±0.1"
"        Dutch","3,106,773","±19,915","0.9%","±0.1"
"        English","31,698,663","±198,835","9.5%","±0.1"
"        French (except Basque)","6,412,949","±34,034","1.9%","±0.1"
"        French Canadian","1,621,234","±17,400","0.5%","±0.1"
"        German","41,767,410","±143,526","12.5%","±0.1"
"        Greek","1,203,356","±12,955","0.4%","±0.1"
"        Hungarian","1,251,604","±10,684","0.4%","±0.1"
"        Irish","31,613,628","±80,391","9.4%","±0.1"
"        Italian","16,176,874","±61,880","4.8%","±0.1"
"        Lithuanian","596,968","±8,463","0.2%","±0.1"
"        Norwegian","3,920,371","±23,546","1.2%","±0.1"
"        Polish","8,344,993","±46,075","2.5%","±0.1"
"        Portuguese","1,349,093","±14,416","0.4%","±0.1"
"        Russian","2,223,882","±19,293","0.7%","±0.1"
"        Scotch-Irish","2,522,548","±19,279","0.8%","±0.1"
"        Scottish","5,562,559","±34,531","1.7%","±0.1"
"        Slovak","596,996","±8,281","0.2%","±0.1"
"        Subsaharan African","4,209,725","±34,941","1.3%","±0.1"
"        Swedish","3,335,881","±22,511","1.0%","±0.1"
"        Swiss","849,422","±11,408","0.3%","±0.1"
"        Ukrainian","1,147,680","±14,030","0.3%","±0.1"
"        Welsh","1,586,180","±14,777","0.5%","±0.1"
"        West Indian (excluding Hispanic origin groups)","3,222,711","±24,514","1.0%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total households","129,227,496","±209,365","129,227,496","(X)"
"        With a computer","123,406,024","±226,865","95.5%","±0.1"
"        With a broadband Internet subscription","117,573,073","±259,391","91.0%","±0.1"
