"Label (Grouping)","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error"
"        Housing units without a mortgage","1,769,519","±10,914","42.2%","±0.2"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","2,427,466","±14,036","2,427,466","(X)"
"        Less than $500","13,920","±1,029","0.6%","±0.1"
"        $500 to $999","154,865","±2,780","6.4%","±0.1"
"        $1,000 to $1,499","347,539","±4,291","14.3%","±0.1"
"        $1,500 to $1,999","362,191","±4,265","14.9%","±0.1"
"        $2,000 to $2,499","305,226","±4,502","12.6%","±0.2"
"        $2,500 to $2,999","274,576","±4,296","11.3%","±0.2"
"        $3,000 or more","969,149","±7,994","39.9%","±0.2"
"        Median (dollars)","2,555","±9","(X)","(X)"
"    Housing units without a mortgage","1,769,519","±10,914","1,769,519","(X)"
"        Less than $250","92,526","±2,994","5.2%","±0.2"
"        $250 to $399","124,842","±2,735","7.1%","±0.2"
"        $400 to $599","243,374","±3,591","13.8%","±0.2"
"        $600 to $799","253,847","±3,425","14.3%","±0.2"
"        $800 to $999","214,867","±3,418","12.1%","±0.2"
"        $1,000 or more","840,063","±7,868","47.5%","±0.3"
"        Median (dollars)","958","±5","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","2,415,353","±14,127","2,415,353","(X)"
"        Less than 20.0 percent","1,037,862","±9,540","43.0%","±0.3"
"        20.0 to 24.9 percent","339,487","±4,892","14.1%","±0.2"
"        25.0 to 29.9 percent","234,982","±4,520","9.7%","±0.2"
"        30.0 to 34.9 percent","169,334","±3,472","7.0%","±0.1"
"        35.0 percent or more","633,688","±6,819","26.2%","±0.3"
"        Not computed","12,113","±882","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","1,746,516","±10,700","1,746,516","(X)"
"        Less than 10.0 percent","643,888","±6,918","36.9%","±0.3"
"        10.0 to 14.9 percent","330,077","±4,519","18.9%","±0.2"
"        15.0 to 19.9 percent","206,649","±3,642","11.8%","±0.2"
"        20.0 to 24.9 percent","130,481","±2,701","7.5%","±0.2"
"        25.0 to 29.9 percent","88,596","±2,776","5.1%","±0.2"
"        30.0 to 34.9 percent","61,559","±2,336","3.5%","±0.1"
"        35.0 percent or more","285,266","±4,282","16.3%","±0.2"
"        Not computed","23,003","±1,132","(X)","(X)"
"GROSS RENT","","","",""
